trade_id_ref,stage,root_cause_category,origin_date,resolved_date,resolution_days,still_open_at_window_end,max_escalation_tier_reached
kraken:105347819,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105347821,clearing,MISSING_RECORD,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
kraken:105347825,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347832,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105347838,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105347843,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347863,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347876,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105347886,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347887,clearing,MISSING_RECORD,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105347889,clearing,QUANTITY,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
kraken:105347895,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105347898,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347918,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
kraken:105347920,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347923,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347929,clearing,MISSING_RECORD,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
kraken:105347931,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347933,clearing,QUANTITY,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
kraken:105347940,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347945,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347946,clearing,MISSING_RECORD,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
kraken:105347950,clearing,MISSING_RECORD,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
kraken:105347951,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105347963,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105347973,clearing,QUANTITY,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105347976,clearing,REFERENCE_DATA,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105347987,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348031,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348037,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348051,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348058,clearing,QUANTITY,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105348067,clearing,REFERENCE_DATA,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348069,clearing,PRICING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348072,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348087,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348094,clearing,MISSING_RECORD,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348107,clearing,REFERENCE_DATA,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348112,clearing,TIMING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
kraken:105348123,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348125,clearing,TIMING,2026-08-19,,,True,TIER4_CRITICAL_AGED
kraken:105348131,clearing,QUANTITY,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348135,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348145,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348155,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348162,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348165,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
kraken:105348178,clearing,TIMING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
kraken:105348203,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348215,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348217,clearing,TIMING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105348224,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348237,clearing,PRICING,2026-08-19,2026-08-25,6,False,TIER2_ESCALATED
kraken:105348250,clearing,TIMING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348263,clearing,MISSING_RECORD,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348271,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348272,clearing,REFERENCE_DATA,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
kraken:105348273,clearing,PRICING,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
kraken:105348279,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
kraken:105348283,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
kraken:105348289,clearing,PRICING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145698,clearing,QUANTITY,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145697,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073145696,clearing,PRICING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145691,clearing,TIMING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
coinbase:1073145705,clearing,TIMING,2026-08-19,,,True,TIER4_CRITICAL_AGED
coinbase:1073145715,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073145730,clearing,PRICING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
coinbase:1073145736,clearing,TIMING,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145742,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145748,clearing,QUANTITY,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
coinbase:1073145751,clearing,REFERENCE_DATA,2026-08-19,2026-08-21,2,False,TIER1_NORMAL
coinbase:1073145765,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145772,clearing,TIMING,2026-08-19,2026-08-24,5,False,TIER2_ESCALATED
coinbase:1073145774,clearing,QUANTITY,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145786,clearing,TIMING,2026-08-19,2026-08-22,3,False,TIER2_ESCALATED
kraken:105348292,clearing,TIMING,2026-08-19,2026-08-19,0,False,TIER1_NORMAL
coinbase:1073145805,clearing,TIMING,2026-08-19,2026-08-26,7,False,TIER3_MANAGEMENT
coinbase:1073145812,clearing,TIMING,2026-08-19,2026-08-23,4,False,TIER2_ESCALATED
coinbase:1073145813,clearing,MISSING_RECORD,2026-08-19,2026-08-20,1,False,TIER1_NORMAL
