event_type,entity_type,entity_ref,event_at,details
BREAK_IDENTIFIED,trade_stage,kraken:105347819|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105347821|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347825|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347832|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105347838|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347843|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105347863|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347876|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347886|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347887|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347889|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347895|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347898|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347918|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347920|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347923|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347929|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347931|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347933|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347940|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347945|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105347946|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347950|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105347951|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347963|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105347973|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105347976|clearing,2026-08-19T00:00:00+00:00,category=REFERENCE_DATA
BREAK_IDENTIFIED,trade_stage,kraken:105347987|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348031|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348037|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105348051|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348058|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348067|clearing,2026-08-19T00:00:00+00:00,category=REFERENCE_DATA
BREAK_IDENTIFIED,trade_stage,kraken:105348069|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348072|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348087|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348094|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105348107|clearing,2026-08-19T00:00:00+00:00,category=REFERENCE_DATA
BREAK_IDENTIFIED,trade_stage,kraken:105348112|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348123|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348125|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348131|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348135|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105348145|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348155|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348162|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348165|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348178|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348203|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348215|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348217|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348224|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348237|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348250|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348263|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,kraken:105348271|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348272|clearing,2026-08-19T00:00:00+00:00,category=REFERENCE_DATA
BREAK_IDENTIFIED,trade_stage,kraken:105348273|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348279|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348283|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348289|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145698|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145697|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145696|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145691|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145705|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145715|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145730|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145736|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145742|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145748|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145751|clearing,2026-08-19T00:00:00+00:00,category=REFERENCE_DATA
BREAK_IDENTIFIED,trade_stage,coinbase:1073145765|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145772|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145774|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145786|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,kraken:105348292|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145805|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145812|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145813|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,coinbase:1073145836|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145838|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145853|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145852|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145863|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145865|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,coinbase:1073145874|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145879|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145888|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145893|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145903|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348299|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145917|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145927|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145964|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145957|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145949|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145974|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145972|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,coinbase:1073145971|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,coinbase:1073145970|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145968|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145980|clearing,2026-08-19T00:00:00+00:00,category=TIMING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145976|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,coinbase:1073145985|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
BREAK_IDENTIFIED,trade_stage,coinbase:1073146027|clearing,2026-08-19T00:00:00+00:00,category=PRICING
BREAK_IDENTIFIED,trade_stage,kraken:105348303|clearing,2026-08-19T00:00:00+00:00,category=QUANTITY
BREAK_IDENTIFIED,trade_stage,kraken:105348316|clearing,2026-08-19T00:00:00+00:00,category=MISSING_RECORD
