break_reference,venue,symbol,stage,break_category_code,has_timing_issue,origin_date,status,resolved_date,age_days_or_final,escalation_tier,financial_impact_usd
binance:6582449472|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449474|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582449479|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449486|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582449503|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449544|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,0.00105169
binance:6582449588|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449608|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449616|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449634|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,0.00054220
binance:6582449729|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582449759|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582449776|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582449776|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449782|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449789|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449850|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449856|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449889|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449994|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582449997|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450038|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450086|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450164|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582450193|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450196|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450211|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450250|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450251|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450261|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450270|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450340|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450342|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450385|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450386|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450395|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450412|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450420|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450503|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450504|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582450505|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450560|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450560|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450624|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450626|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450699|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582450701|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450713|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450720|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450781|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582450807|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450809|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,0.00329700
binance:6582450853|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450871|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450890|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450915|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582450939|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582450940|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450971|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450976|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582450993|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451014|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451041|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451044|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451115|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451147|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451180|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451220|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451229|confirm,binance,BTCUSDT,confirm,QUANTITY,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451239|confirm,binance,BTCUSDT,confirm,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451242|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451349|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451378|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451479|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451490|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451491|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-20,1,TIER1_NORMAL,
binance:6582451498|clearing,binance,BTCUSDT,clearing,REFERENCE_DATA,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451512|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451567|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451622|confirm,binance,BTCUSDT,confirm,TIMING,True,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451639|clearing,binance,BTCUSDT,clearing,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451664|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451664|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451669|clearing,binance,BTCUSDT,clearing,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451669|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451673|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451742|clearing,binance,BTCUSDT,clearing,QUANTITY,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451794|confirm,binance,BTCUSDT,confirm,MISSING_RECORD,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451856|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
binance:6582451941|clearing,binance,BTCUSDT,clearing,TIMING,True,2026-08-19,RESOLVED,2026-08-21,2,TIER1_NORMAL,
binance:6582451959|confirm,binance,BTCUSDT,confirm,PRICING,False,2026-08-19,RESOLVED,2026-08-19,0,TIER1_NORMAL,
