venue,native_trade_id,agg_trade_id,symbol,side,price,quantity,traded_at
binance,6582462240,4035601589,BTCUSDT,sell,68677.50000000,0.00016000,2026-08-19T16:18:33.109000+00:00
binance,6582462242,4035601590,BTCUSDT,sell,68676.26000000,0.00030000,2026-08-19T16:18:33.112000+00:00
binance,6582462246,4035601591,BTCUSDT,sell,68676.26000000,0.00093000,2026-08-19T16:18:33.112000+00:00
binance,6582462258,4035601592,BTCUSDT,sell,68676.25000000,0.00056000,2026-08-19T16:18:33.112000+00:00
binance,6582462265,4035601593,BTCUSDT,sell,68675.95000000,0.00016000,2026-08-19T16:18:33.112000+00:00
binance,6582462267,4035601594,BTCUSDT,sell,68675.87000000,0.00120000,2026-08-19T16:18:33.114000+00:00
binance,6582462274,4035601595,BTCUSDT,sell,68675.62000000,0.00018000,2026-08-19T16:18:33.114000+00:00
binance,6582462275,4035601596,BTCUSDT,sell,68675.59000000,0.00022000,2026-08-19T16:18:33.114000+00:00
binance,6582462276,4035601597,BTCUSDT,sell,68675.59000000,0.00092000,2026-08-19T16:18:33.116000+00:00
binance,6582462285,4035601598,BTCUSDT,sell,68674.84000000,0.00048000,2026-08-19T16:18:33.116000+00:00
binance,6582462286,4035601599,BTCUSDT,sell,68674.83000000,0.00008000,2026-08-19T16:18:33.116000+00:00
binance,6582462287,4035601600,BTCUSDT,sell,68674.39000000,0.00098000,2026-08-19T16:18:33.119000+00:00
binance,6582462299,4035601601,BTCUSDT,sell,68674.38000000,0.00008000,2026-08-19T16:18:33.119000+00:00
binance,6582462300,4035601602,BTCUSDT,sell,68673.71000000,0.00106000,2026-08-19T16:18:33.125000+00:00
binance,6582462313,4035601603,BTCUSDT,sell,68673.70000000,0.00032000,2026-08-19T16:18:33.125000+00:00
binance,6582462317,4035601604,BTCUSDT,sell,68673.67000000,0.00016000,2026-08-19T16:18:33.125000+00:00
binance,6582462319,4035601605,BTCUSDT,sell,68673.66000000,0.00016000,2026-08-19T16:18:33.125000+00:00
binance,6582462321,4035601606,BTCUSDT,sell,68673.41000000,0.00016000,2026-08-19T16:18:33.125000+00:00
binance,6582462323,4035601607,BTCUSDT,sell,68673.03000000,0.00008000,2026-08-19T16:18:33.125000+00:00
binance,6582462324,4035601608,BTCUSDT,sell,68672.40000000,0.00009000,2026-08-19T16:18:33.125000+00:00
binance,6582462325,4035601609,BTCUSDT,sell,68672.06000000,0.00024000,2026-08-19T16:18:33.125000+00:00
binance,6582462328,4035601610,BTCUSDT,sell,68671.46000000,0.00008000,2026-08-19T16:18:33.125000+00:00
binance,6582462329,4035601611,BTCUSDT,sell,68671.30000000,0.00087000,2026-08-19T16:18:33.125000+00:00
binance,6582462332,4035601612,BTCUSDT,sell,68671.29000000,0.00027000,2026-08-19T16:18:33.125000+00:00
binance,6582462335,4035601613,BTCUSDT,sell,68670.52000000,0.00008000,2026-08-19T16:18:33.125000+00:00
binance,6582462336,4035601614,BTCUSDT,sell,68670.00000000,0.00017000,2026-08-19T16:18:33.125000+00:00
binance,6582462338,4035601615,BTCUSDT,sell,68669.82000000,0.04368000,2026-08-19T16:18:33.125000+00:00
binance,6582462339,4035601616,BTCUSDT,sell,68669.80000000,0.00008000,2026-08-19T16:18:33.125000+00:00
binance,6582462340,4035601617,BTCUSDT,sell,68669.27000000,0.00024000,2026-08-19T16:18:33.125000+00:00
binance,6582462343,4035601618,BTCUSDT,sell,68669.26000000,0.00527000,2026-08-19T16:18:33.222000+00:00
binance,6582462373,4035601619,BTCUSDT,sell,68669.25000000,0.00056000,2026-08-19T16:18:33.222000+00:00
binance,6582462380,4035601620,BTCUSDT,sell,68668.95000000,0.00024000,2026-08-19T16:18:33.222000+00:00
binance,6582462383,4035601621,BTCUSDT,sell,68668.94000000,0.02242000,2026-08-19T16:18:33.222000+00:00
binance,6582462384,4035601622,BTCUSDT,sell,68668.69000000,0.00018000,2026-08-19T16:18:33.222000+00:00
binance,6582462385,4035601623,BTCUSDT,sell,68668.15000000,0.00024000,2026-08-19T16:18:33.222000+00:00
binance,6582462388,4035601624,BTCUSDT,sell,68668.14000000,0.02000000,2026-08-19T16:18:33.222000+00:00
binance,6582462389,4035601625,BTCUSDT,sell,68668.04000000,0.00008000,2026-08-19T16:18:33.222000+00:00
