venue,native_trade_id,agg_trade_id,symbol,side,price,quantity,traded_at
coinbase,1073150681,,BTC-USD,buy,68676.68000000,0.00000018,2026-08-19T16:19:36.885564Z
coinbase,1073150680,,BTC-USD,buy,68676.68000000,0.00320348,2026-08-19T16:19:36.876957Z
coinbase,1073150679,,BTC-USD,buy,68676.68000000,0.00002256,2026-08-19T16:19:36.822263Z
coinbase,1073150678,,BTC-USD,buy,68676.68000000,0.00077966,2026-08-19T16:19:36.576636Z
coinbase,1073150677,,BTC-USD,buy,68676.68000000,0.00000010,2026-08-19T16:19:36.446547Z
coinbase,1073150676,,BTC-USD,sell,68676.69000000,0.00143981,2026-08-19T16:19:36.391668Z
coinbase,1073150675,,BTC-USD,sell,68676.69000000,0.00046145,2026-08-19T16:19:36.107015Z
coinbase,1073150674,,BTC-USD,buy,68676.68000000,0.00000019,2026-08-19T16:19:35.997539Z
coinbase,1073150673,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.996647Z
coinbase,1073150672,,BTC-USD,sell,68676.69000000,0.00413001,2026-08-19T16:19:35.989762Z
coinbase,1073150671,,BTC-USD,sell,68676.69000000,0.00011566,2026-08-19T16:19:35.989762Z
coinbase,1073150670,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.803008Z
coinbase,1073150669,,BTC-USD,buy,68676.68000000,0.00000013,2026-08-19T16:19:35.800155Z
coinbase,1073150668,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.602678Z
coinbase,1073150667,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.396388Z
coinbase,1073150666,,BTC-USD,buy,68676.68000000,0.00000006,2026-08-19T16:19:35.369652Z
coinbase,1073150665,,BTC-USD,buy,68676.68000000,0.00002108,2026-08-19T16:19:35.260220Z
coinbase,1073150664,,BTC-USD,buy,68676.68000000,0.00000001,2026-08-19T16:19:35.248610Z
coinbase,1073150663,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.228965Z
coinbase,1073150662,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:35.007979Z
coinbase,1073150661,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:34.789798Z
coinbase,1073150660,,BTC-USD,buy,68676.68000000,0.00000005,2026-08-19T16:19:34.756954Z
coinbase,1073150659,,BTC-USD,buy,68676.68000000,0.00000007,2026-08-19T16:19:34.680093Z
coinbase,1073150658,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:34.575766Z
coinbase,1073150657,,BTC-USD,buy,68676.68000000,0.00263212,2026-08-19T16:19:34.455809Z
coinbase,1073150656,,BTC-USD,buy,68676.68000000,0.00004877,2026-08-19T16:19:34.455809Z
coinbase,1073150655,,BTC-USD,buy,68676.68000000,0.00023210,2026-08-19T16:19:34.455809Z
coinbase,1073150654,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:34.406753Z
coinbase,1073150653,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:34.208654Z
coinbase,1073150652,,BTC-USD,buy,68676.68000000,0.00000016,2026-08-19T16:19:34.143090Z
coinbase,1073150651,,BTC-USD,sell,68676.69000000,0.00138199,2026-08-19T16:19:34.040984Z
coinbase,1073150650,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:33.993181Z
coinbase,1073150649,,BTC-USD,sell,68676.69000000,0.00021230,2026-08-19T16:19:33.942728Z
coinbase,1073150648,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:33.805119Z
coinbase,1073150647,,BTC-USD,buy,68676.68000000,0.00000041,2026-08-19T16:19:33.697245Z
coinbase,1073150646,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:33.616608Z
coinbase,1073150645,,BTC-USD,buy,68676.68000000,0.00000013,2026-08-19T16:19:33.543542Z
coinbase,1073150644,,BTC-USD,buy,68676.68000000,0.00588281,2026-08-19T16:19:33.413998Z
coinbase,1073150643,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:33.410046Z
coinbase,1073150642,,BTC-USD,sell,68676.69000000,0.00000001,2026-08-19T16:19:33.197282Z
coinbase,1073150641,,BTC-USD,buy,68676.68000000,0.00000001,2026-08-19T16:19:32.755829Z
coinbase,1073150640,,BTC-USD,buy,68676.68000000,0.00000005,2026-08-19T16:19:32.488128Z
coinbase,1073150639,,BTC-USD,sell,68686.42000000,0.06855196,2026-08-19T16:19:32.446567Z
