venue,native_trade_id,agg_trade_id,symbol,side,price,quantity,traded_at
kraken,105347813,,XBTUSD,sell,68581.40000,0.00032331,2026-08-19T16:11:28.673748+00:00
kraken,105347814,,XBTUSD,sell,68581.30000,0.01304795,2026-08-19T16:11:28.673748+00:00
kraken,105347815,,XBTUSD,sell,68581.30000,0.01337126,2026-08-19T16:11:28.673748+00:00
kraken,105347816,,XBTUSD,sell,68581.30000,0.01337126,2026-08-19T16:11:28.673748+00:00
kraken,105347817,,XBTUSD,sell,68581.30000,0.01337122,2026-08-19T16:11:28.673748+00:00
kraken,105347818,,XBTUSD,buy,68585.10000,0.00044290,2026-08-19T16:11:29.247678+00:00
kraken,105347819,,XBTUSD,sell,68585.00000,0.00005978,2026-08-19T16:11:29.410435+00:00
kraken,105347820,,XBTUSD,buy,68585.10000,0.00521295,2026-08-19T16:11:31.269341+00:00
kraken,105347821,,XBTUSD,buy,68585.10000,0.00005767,2026-08-19T16:11:31.769962+00:00
kraken,105347822,,XBTUSD,buy,68585.10000,0.02411682,2026-08-19T16:11:32.502224+00:00
kraken,105347823,,XBTUSD,buy,68585.10000,0.06512560,2026-08-19T16:11:33.127857+00:00
kraken,105347824,,XBTUSD,buy,68585.10000,0.00347517,2026-08-19T16:11:33.129162+00:00
kraken,105347825,,XBTUSD,buy,68585.10000,0.01274225,2026-08-19T16:11:33.129219+00:00
kraken,105347826,,XBTUSD,buy,68585.10000,0.00463355,2026-08-19T16:11:33.151529+00:00
kraken,105347827,,XBTUSD,buy,68585.10000,0.22560381,2026-08-19T16:11:33.152324+00:00
kraken,105347828,,XBTUSD,buy,68585.10000,0.00100000,2026-08-19T16:11:33.152324+00:00
kraken,105347829,,XBTUSD,buy,68585.10000,0.27008058,2026-08-19T16:11:33.152324+00:00
kraken,105347830,,XBTUSD,buy,68585.10000,0.12991942,2026-08-19T16:11:33.199712+00:00
kraken,105347831,,XBTUSD,buy,68585.10000,0.00072903,2026-08-19T16:11:33.199712+00:00
kraken,105347832,,XBTUSD,buy,68585.10000,0.00010000,2026-08-19T16:11:33.199712+00:00
kraken,105347833,,XBTUSD,buy,68585.10000,0.00100000,2026-08-19T16:11:33.199712+00:00
kraken,105347834,,XBTUSD,buy,68585.50000,0.06777687,2026-08-19T16:11:33.213173+00:00
kraken,105347835,,XBTUSD,buy,68585.70000,0.00005100,2026-08-19T16:11:33.213173+00:00
kraken,105347836,,XBTUSD,buy,68598.70000,0.10000000,2026-08-19T16:11:33.720682+00:00
kraken,105347837,,XBTUSD,buy,68598.70000,0.00072888,2026-08-19T16:11:33.720682+00:00
kraken,105347838,,XBTUSD,buy,68600.00000,0.00029106,2026-08-19T16:11:33.736491+00:00
kraken,105347839,,XBTUSD,buy,68605.40000,0.00072887,2026-08-19T16:11:34.039885+00:00
kraken,105347840,,XBTUSD,sell,68612.00000,0.06960000,2026-08-19T16:11:34.066461+00:00
kraken,105347841,,XBTUSD,sell,68612.00000,0.19396063,2026-08-19T16:11:34.066461+00:00
kraken,105347842,,XBTUSD,buy,68612.10000,0.00145700,2026-08-19T16:11:34.235964+00:00
kraken,105347843,,XBTUSD,buy,68612.10000,0.00072881,2026-08-19T16:11:34.235964+00:00
kraken,105347844,,XBTUSD,buy,68613.40000,0.00012200,2026-08-19T16:11:34.346933+00:00
kraken,105347845,,XBTUSD,sell,68627.60000,0.00072857,2026-08-19T16:11:41.121218+00:00
kraken,105347846,,XBTUSD,sell,68627.60000,0.00100000,2026-08-19T16:11:41.121218+00:00
kraken,105347847,,XBTUSD,sell,68627.00000,0.00286809,2026-08-19T16:11:41.140533+00:00
kraken,105347848,,XBTUSD,sell,68609.90000,0.00072876,2026-08-19T16:11:42.715036+00:00
kraken,105347849,,XBTUSD,sell,68606.40000,0.00005100,2026-08-19T16:11:42.715036+00:00
kraken,105347850,,XBTUSD,sell,68605.60000,0.00232105,2026-08-19T16:11:42.715036+00:00
kraken,105347851,,XBTUSD,sell,68603.00000,0.00005100,2026-08-19T16:11:42.715036+00:00
kraken,105347852,,XBTUSD,sell,68600.70000,0.00041900,2026-08-19T16:11:42.715036+00:00
kraken,105347853,,XBTUSD,sell,68597.20000,0.00027089,2026-08-19T16:11:42.715036+00:00
kraken,105347854,,XBTUSD,buy,68597.30000,0.38634198,2026-08-19T16:11:42.948905+00:00
kraken,105347855,,XBTUSD,buy,68597.30000,0.35136570,2026-08-19T16:11:42.948905+00:00
kraken,105347856,,XBTUSD,sell,68597.20000,0.00005000,2026-08-19T16:11:48.784879+00:00
kraken,105347857,,XBTUSD,buy,68597.30000,0.01500000,2026-08-19T16:11:52.915492+00:00
kraken,105347858,,XBTUSD,buy,68597.30000,0.00100000,2026-08-19T16:11:52.915492+00:00
kraken,105347859,,XBTUSD,buy,68597.30000,0.00072890,2026-08-19T16:11:52.915492+00:00
kraken,105347860,,XBTUSD,buy,68597.30000,0.00010000,2026-08-19T16:11:52.915492+00:00
kraken,105347861,,XBTUSD,buy,68597.30000,0.00100000,2026-08-19T16:11:52.915492+00:00
kraken,105347862,,XBTUSD,buy,68597.30000,0.01688630,2026-08-19T16:11:52.915492+00:00
kraken,105347863,,XBTUSD,buy,68597.30000,0.00372748,2026-08-19T16:11:53.416360+00:00
kraken,105347864,,XBTUSD,buy,68597.30000,0.00853757,2026-08-19T16:11:53.990606+00:00
kraken,105347865,,XBTUSD,sell,68597.20000,0.00067890,2026-08-19T16:11:58.431303+00:00
kraken,105347866,,XBTUSD,sell,68597.20000,0.02200000,2026-08-19T16:11:58.431303+00:00
kraken,105347867,,XBTUSD,sell,68597.20000,0.00543589,2026-08-19T16:11:58.431303+00:00
kraken,105347868,,XBTUSD,sell,68597.20000,0.00787652,2026-08-19T16:11:59.507973+00:00
kraken,105347869,,XBTUSD,buy,68597.30000,0.00011408,2026-08-19T16:12:02.086151+00:00
kraken,105347870,,XBTUSD,buy,68597.30000,0.00061482,2026-08-19T16:12:02.960461+00:00
kraken,105347871,,XBTUSD,buy,68597.30000,0.00100000,2026-08-19T16:12:02.960461+00:00
kraken,105347872,,XBTUSD,buy,68597.30000,0.00010000,2026-08-19T16:12:02.960461+00:00
kraken,105347873,,XBTUSD,buy,68597.30000,0.00571935,2026-08-19T16:12:02.960461+00:00
kraken,105347874,,XBTUSD,buy,68597.30000,0.07800000,2026-08-19T16:12:02.960461+00:00
kraken,105347875,,XBTUSD,buy,68597.30000,0.04725041,2026-08-19T16:12:02.960461+00:00
kraken,105347876,,XBTUSD,buy,68597.30000,0.03333040,2026-08-19T16:12:02.960461+00:00
kraken,105347877,,XBTUSD,buy,68597.30000,0.14573727,2026-08-19T16:12:02.960461+00:00
kraken,105347878,,XBTUSD,sell,68597.20000,0.00015229,2026-08-19T16:12:07.121143+00:00
kraken,105347879,,XBTUSD,buy,68597.30000,0.00009688,2026-08-19T16:12:08.642437+00:00
kraken,105347880,,XBTUSD,buy,68597.30000,0.00589889,2026-08-19T16:12:10.486627+00:00
kraken,105347881,,XBTUSD,buy,68597.30000,0.00040818,2026-08-19T16:12:10.787919+00:00
kraken,105347882,,XBTUSD,sell,68597.20000,0.00054600,2026-08-19T16:12:12.372513+00:00
kraken,105347883,,XBTUSD,sell,68597.20000,0.02748930,2026-08-19T16:12:15.249037+00:00
kraken,105347884,,XBTUSD,sell,68597.20000,0.00100000,2026-08-19T16:12:15.249037+00:00
kraken,105347885,,XBTUSD,sell,68597.20000,0.00072890,2026-08-19T16:12:15.249037+00:00
kraken,105347886,,XBTUSD,sell,68597.20000,0.01786093,2026-08-19T16:12:15.249037+00:00
kraken,105347887,,XBTUSD,sell,68596.50000,0.00145700,2026-08-19T16:12:15.249037+00:00
kraken,105347888,,XBTUSD,sell,68581.00000,0.00145800,2026-08-19T16:12:15.372034+00:00
kraken,105347889,,XBTUSD,buy,68576.80000,0.01144062,2026-08-19T16:12:22.942540+00:00
kraken,105347890,,XBTUSD,buy,68576.80000,0.07290000,2026-08-19T16:12:22.942540+00:00
kraken,105347891,,XBTUSD,buy,68576.80000,0.72910955,2026-08-19T16:12:22.942540+00:00
kraken,105347892,,XBTUSD,buy,68576.80000,0.00630052,2026-08-19T16:12:22.942540+00:00
kraken,105347893,,XBTUSD,buy,68576.80000,0.00072911,2026-08-19T16:12:22.942540+00:00
kraken,105347894,,XBTUSD,buy,68576.80000,0.00100000,2026-08-19T16:12:22.942540+00:00
kraken,105347895,,XBTUSD,buy,68576.80000,0.00029700,2026-08-19T16:12:22.942540+00:00
kraken,105347896,,XBTUSD,buy,68576.80000,0.00016300,2026-08-19T16:12:22.942540+00:00
kraken,105347897,,XBTUSD,buy,68576.80000,0.00100000,2026-08-19T16:12:22.942540+00:00
kraken,105347898,,XBTUSD,buy,68576.80000,0.00010000,2026-08-19T16:12:22.942540+00:00
kraken,105347899,,XBTUSD,buy,68576.80000,0.07800000,2026-08-19T16:12:22.942540+00:00
kraken,105347900,,XBTUSD,buy,68576.80000,0.04989237,2026-08-19T16:12:22.942540+00:00
kraken,105347901,,XBTUSD,buy,68576.80000,0.21581086,2026-08-19T16:12:22.942540+00:00
kraken,105347902,,XBTUSD,sell,68576.70000,0.00018200,2026-08-19T16:12:24.790267+00:00
kraken,105347903,,XBTUSD,sell,68576.70000,0.00181800,2026-08-19T16:12:27.990554+00:00
kraken,105347904,,XBTUSD,sell,68576.70000,0.00072911,2026-08-19T16:12:27.990554+00:00
kraken,105347905,,XBTUSD,sell,68576.70000,0.00100000,2026-08-19T16:12:27.990554+00:00
kraken,105347906,,XBTUSD,sell,68575.50000,0.00005100,2026-08-19T16:12:27.990554+00:00
kraken,105347907,,XBTUSD,sell,68572.80000,0.01076266,2026-08-19T16:12:27.990554+00:00
kraken,105347908,,XBTUSD,buy,68572.90000,0.00030619,2026-08-19T16:12:28.629246+00:00
kraken,105347909,,XBTUSD,sell,68572.80000,0.00072916,2026-08-19T16:12:29.410569+00:00
kraken,105347910,,XBTUSD,sell,68572.10000,0.07800000,2026-08-19T16:12:29.472551+00:00
kraken,105347911,,XBTUSD,buy,68565.50000,0.00437467,2026-08-19T16:12:30.122630+00:00
kraken,105347912,,XBTUSD,sell,68565.40000,0.00145800,2026-08-19T16:12:37.529445+00:00
kraken,105347913,,XBTUSD,sell,68565.40000,0.00072900,2026-08-19T16:12:37.529445+00:00
kraken,105347914,,XBTUSD,sell,68565.40000,0.00000023,2026-08-19T16:12:39.322489+00:00
kraken,105347915,,XBTUSD,sell,68565.40000,0.05980000,2026-08-19T16:12:39.322489+00:00
kraken,105347916,,XBTUSD,sell,68565.20000,0.00005100,2026-08-19T16:12:39.322489+00:00
kraken,105347917,,XBTUSD,buy,68552.10000,0.06113804,2026-08-19T16:12:39.340536+00:00
kraken,105347918,,XBTUSD,buy,68550.10000,0.01144325,2026-08-19T16:12:39.432020+00:00
kraken,105347919,,XBTUSD,buy,68550.10000,0.38259565,2026-08-19T16:12:39.432020+00:00
kraken,105347920,,XBTUSD,buy,68553.90000,0.25186577,2026-08-19T16:12:39.432020+00:00
kraken,105347921,,XBTUSD,buy,68553.90000,0.11868050,2026-08-19T16:12:39.432186+00:00
kraken,105347922,,XBTUSD,buy,68550.10000,0.01144325,2026-08-19T16:12:39.437536+00:00
kraken,105347923,,XBTUSD,buy,68550.10000,0.38259565,2026-08-19T16:12:39.437536+00:00
kraken,105347924,,XBTUSD,buy,68550.10000,0.28084360,2026-08-19T16:12:39.437536+00:00
kraken,105347925,,XBTUSD,buy,68550.10000,0.16830797,2026-08-19T16:12:39.438930+00:00
kraken,105347926,,XBTUSD,buy,68550.10000,0.01144325,2026-08-19T16:12:39.539604+00:00
kraken,105347927,,XBTUSD,buy,68550.10000,0.04989237,2026-08-19T16:12:39.539604+00:00
kraken,105347928,,XBTUSD,buy,68550.10000,0.30820992,2026-08-19T16:12:39.539604+00:00
kraken,105347929,,XBTUSD,buy,68555.30000,0.10153157,2026-08-19T16:12:39.539935+00:00
kraken,105347930,,XBTUSD,sell,68550.00000,0.00145878,2026-08-19T16:12:39.912382+00:00
kraken,105347931,,XBTUSD,sell,68550.00000,0.00072940,2026-08-19T16:12:39.912382+00:00
kraken,105347932,,XBTUSD,sell,68549.80000,0.00145800,2026-08-19T16:12:39.912382+00:00
kraken,105347933,,XBTUSD,sell,68548.10000,0.00005100,2026-08-19T16:12:39.912382+00:00
kraken,105347934,,XBTUSD,sell,68547.10000,0.00000209,2026-08-19T16:12:39.912382+00:00
kraken,105347935,,XBTUSD,sell,68547.10000,0.46206491,2026-08-19T16:12:40.221577+00:00
kraken,105347936,,XBTUSD,sell,68547.10000,0.04750000,2026-08-19T16:12:40.221577+00:00
kraken,105347937,,XBTUSD,sell,68547.10000,0.00072943,2026-08-19T16:12:40.221577+00:00
kraken,105347938,,XBTUSD,sell,68547.10000,0.00072943,2026-08-19T16:12:40.221577+00:00
kraken,105347939,,XBTUSD,sell,68547.00000,0.08441250,2026-08-19T16:12:40.221577+00:00
kraken,105347940,,XBTUSD,buy,68547.10000,0.00100000,2026-08-19T16:12:42.197550+00:00
kraken,105347941,,XBTUSD,buy,68547.10000,0.00072943,2026-08-19T16:12:42.197550+00:00
kraken,105347942,,XBTUSD,buy,68547.10000,0.00010000,2026-08-19T16:12:42.197550+00:00
kraken,105347943,,XBTUSD,buy,68547.10000,0.00100000,2026-08-19T16:12:42.197550+00:00
kraken,105347944,,XBTUSD,buy,68547.10000,0.03288908,2026-08-19T16:12:42.197550+00:00
kraken,105347945,,XBTUSD,sell,68549.30000,0.01460000,2026-08-19T16:12:42.818029+00:00
kraken,105347946,,XBTUSD,sell,68549.30000,0.00047535,2026-08-19T16:12:42.818029+00:00
kraken,105347947,,XBTUSD,sell,68549.30000,0.00022487,2026-08-19T16:12:44.235005+00:00
kraken,105347948,,XBTUSD,buy,68549.40000,0.00071493,2026-08-19T16:12:46.613228+00:00
kraken,105347949,,XBTUSD,buy,68549.40000,0.00001448,2026-08-19T16:12:49.673857+00:00
kraken,105347950,,XBTUSD,buy,68549.40000,0.00010000,2026-08-19T16:12:49.673857+00:00
kraken,105347951,,XBTUSD,buy,68549.40000,0.00100000,2026-08-19T16:12:49.673857+00:00
kraken,105347952,,XBTUSD,buy,68549.40000,0.01504091,2026-08-19T16:12:49.673857+00:00
kraken,105347953,,XBTUSD,sell,68551.40000,0.00580000,2026-08-19T16:12:50.343530+00:00
kraken,105347954,,XBTUSD,sell,68551.40000,0.00148942,2026-08-19T16:12:50.343530+00:00
