trade_id_ref,clearing_ref,reported_venue,reported_symbol,reported_side,reported_price,reported_quantity,statement_date,received_at,is_synthetic,injected_break_type
kraken:105347813,CLEARING-KRA-105347813,kraken,XBTUSD,sell,68581.40000000,0.00032331,2026-08-19,2026-08-19T16:49:43.886701+00:00,1,none
kraken:105347814,CLEARING-KRA-105347814,kraken,XBTUSD,sell,68581.30000000,0.01304795,2026-08-19,2026-08-19T17:55:08.246363+00:00,1,none
kraken:105347815,CLEARING-KRA-105347815,kraken,XBTUSD,sell,68581.30000000,0.01337126,2026-08-19,2026-08-19T20:24:47.323599+00:00,1,none
kraken:105347816,CLEARING-KRA-105347816,kraken,XBTUSD,sell,68581.30000000,0.01337126,2026-08-19,2026-08-19T17:10:10.062634+00:00,1,none
kraken:105347817,CLEARING-KRA-105347817,kraken,XBTUSD,sell,68581.30000000,0.01337122,2026-08-19,2026-08-19T16:51:18.658693+00:00,1,none
kraken:105347818,CLEARING-KRA-105347818,kraken,XBTUSD,buy,68585.10000000,0.00044290,2026-08-19,2026-08-19T19:28:15.282382+00:00,1,none
kraken:105347819,CLEARING-KRA-105347819,kraken,XBTUSD,sell,68912.69332517,0.00005978,2026-08-19,2026-08-19T17:54:14.134751+00:00,1,price_mismatch
kraken:105347820,CLEARING-KRA-105347820,kraken,XBTUSD,buy,68585.10000000,0.00521295,2026-08-19,2026-08-19T21:08:37.992383+00:00,1,none
kraken:105347822,CLEARING-KRA-105347822,kraken,XBTUSD,buy,68585.10000000,0.02411682,2026-08-19,2026-08-19T20:31:55.662245+00:00,1,none
kraken:105347823,CLEARING-KRA-105347823,kraken,XBTUSD,buy,68585.10000000,0.06512560,2026-08-19,2026-08-19T17:32:51.621953+00:00,1,none
kraken:105347824,CLEARING-KRA-105347824,kraken,XBTUSD,buy,68585.10000000,0.00347517,2026-08-19,2026-08-19T18:32:37.701155+00:00,1,none
kraken:105347825,CLEARING-KRA-105347825,kraken,XBTUSD,buy,68585.10000000,0.01274225,2026-08-22,2026-08-22T08:52:20.155724+00:00,1,timing_breach
kraken:105347826,CLEARING-KRA-105347826,kraken,XBTUSD,buy,68585.10000000,0.00463355,2026-08-19,2026-08-19T21:07:54.291340+00:00,1,none
kraken:105347827,CLEARING-KRA-105347827,kraken,XBTUSD,buy,68585.10000000,0.22560381,2026-08-19,2026-08-19T19:38:30.468535+00:00,1,none
kraken:105347828,CLEARING-KRA-105347828,kraken,XBTUSD,buy,68585.10000000,0.00100000,2026-08-19,2026-08-19T18:46:28.132993+00:00,1,none
