trade_id_ref,confirm_ref,reported_venue,reported_symbol,reported_side,reported_price,reported_quantity,confirm_timestamp,received_at,is_synthetic,injected_break_type
kraken:105347813,CONFIRM-KRA-105347813,kraken,XBTUSD,sell,68581.4,0.00032331,2026-08-19T16:20:25.038772+00:00,2026-08-19T16:20:25.038772+00:00,1,none
kraken:105347814,CONFIRM-KRA-105347814,kraken,XBTUSD,sell,68581.3,0.01304795,2026-08-19T16:20:01.317845+00:00,2026-08-19T16:20:01.317845+00:00,1,none
kraken:105347815,CONFIRM-KRA-105347815,kraken,XBTUSD,sell,68581.3,0.01327602,2026-08-19T16:21:41.734414+00:00,2026-08-19T16:21:41.734414+00:00,1,quantity_mismatch
kraken:105347816,CONFIRM-KRA-105347816,kraken,XBTUSD,sell,68581.3,0.01337126,2026-08-19T16:18:46.895263+00:00,2026-08-19T16:18:46.895263+00:00,1,none
kraken:105347817,CONFIRM-KRA-105347817,kraken,XBTUSD,sell,68581.3,0.01337122,2026-08-19T16:16:54.965197+00:00,2026-08-19T16:16:54.965197+00:00,1,none
kraken:105347818,CONFIRM-KRA-105347818,kraken,XBTUSD,buy,68585.1,0.0004429,2026-08-19T16:21:45.035633+00:00,2026-08-19T16:21:45.035633+00:00,1,none
kraken:105347819,CONFIRM-KRA-105347819,kraken,XBTUSD,sell,68585.0,5.978e-05,2026-08-19T16:18:10.063909+00:00,2026-08-19T16:18:10.063909+00:00,1,none
kraken:105347820,CONFIRM-KRA-105347820,kraken,XBTUSD,buy,68585.1,0.00521295,2026-08-19T16:24:17.415522+00:00,2026-08-19T16:24:17.415522+00:00,1,none
kraken:105347821,CONFIRM-KRA-105347821,kraken,XBTUSD,buy,68585.1,5.767e-05,2026-08-19T16:24:09.006282+00:00,2026-08-19T16:24:09.006282+00:00,1,none
kraken:105347822,CONFIRM-KRA-105347822,kraken,XBTUSD,buy,68585.1,0.02411682,2026-08-20T18:54:12.193408+00:00,2026-08-20T18:54:12.193408+00:00,1,timing_breach
kraken:105347823,CONFIRM-KRA-105347823,kraken,XBTUSD,buy,68585.1,0.0651256,2026-08-19T16:12:23.878862+00:00,2026-08-19T16:12:23.878862+00:00,1,none
kraken:105347824,CONFIRM-KRA-105347824,kraken,XBTUSD,buy,68585.1,0.00347517,2026-08-19T16:14:17.064715+00:00,2026-08-19T16:14:17.064715+00:00,1,none
kraken:105347825,CONFIRM-KRA-105347825,kraken,XBTUSD,buy,68585.1,0.01274225,2026-08-19T16:21:16.479963+00:00,2026-08-19T16:21:16.479963+00:00,1,none
kraken:105347826,CONFIRM-KRA-105347826,kraken,XBTUSD,buy,68585.1,0.00463355,2026-08-19T16:19:24.216567+00:00,2026-08-19T16:19:24.216567+00:00,1,none
kraken:105347827,CONFIRM-KRA-105347827,kraken,XBTUSD,buy,68585.1,0.22560381,2026-08-19T16:19:54.833964+00:00,2026-08-19T16:19:54.833964+00:00,1,none
