trade_id_ref,venue,actual_fee_usd,injected_discrepancy_type
kraken:105347813,kraken,0.17738442,none
kraken:105347814,kraken,4.22358621,rate_misapplied
kraken:105347815,kraken,7.33614715,none
kraken:105347816,kraken,7.33614715,none
kraken:105347817,kraken,7.33612520,none
kraken:105347818,kraken,0.24301073,none
kraken:105347819,kraken,0.03280009,none
kraken:105347820,kraken,1.89497535,rate_misapplied
kraken:105347821,kraken,0.03164242,none
kraken:105347822,kraken,18.25460952,rate_misapplied
kraken:105347823,kraken,35.73316631,none
kraken:105347824,kraken,1.90675906,none
kraken:105347825,kraken,6.99142792,none
kraken:105347826,kraken,5.08467984,double_billed
kraken:105347827,kraken,123.78447895,none
kraken:105347828,kraken,0.54868080,none
kraken:105347829,kraken,148.18802870,none
kraken:105347830,kraken,71.28429130,none
kraken:105347831,kraken,0.40000476,none
kraken:105347832,kraken,0.05486808,none
kraken:105347833,kraken,0.54868080,none
kraken:105347834,kraken,37.18808414,none
kraken:105347835,kraken,0.02798297,none
kraken:105347836,kraken,54.87896000,none
kraken:105347837,kraken,0.40000176,none
kraken:105347838,kraken,0.15973373,none
kraken:105347839,kraken,0.40003534,none
kraken:105347840,kraken,38.20316160,none
kraken:105347841,kraken,106.46421396,none
kraken:105347842,kraken,0.79974264,none
kraken:105347843,kraken,0.40004148,none
kraken:105347844,kraken,0.06696668,none
kraken:105347845,kraken,0.40000008,none
kraken:105347846,kraken,0.54902080,none
kraken:105347847,kraken,1.57462730,none
kraken:105347849,kraken,0.02799141,none
kraken:105347850,kraken,1.27389622,none
kraken:105347851,kraken,0.02531793,rounding_error
kraken:105347852,kraken,0.22994955,none
kraken:105347853,kraken,0.14865836,none
kraken:105347854,kraken,212.01613364,none
kraken:105347855,kraken,192.82190666,none
kraken:105347856,kraken,0.02743888,none
kraken:105347857,kraken,8.23167600,none
kraken:105347858,kraken,0.54877840,none
kraken:105347859,kraken,0.40000458,none
kraken:105347860,kraken,0.05487784,none
kraken:105347861,kraken,0.54877840,none
kraken:105347862,kraken,9.26683670,none
kraken:105347863,kraken,2.04556051,none
kraken:105347864,kraken,4.68523400,none
kraken:105347865,kraken,0.37256511,none
kraken:105347866,kraken,12.07310720,none
kraken:105347867,kraken,2.98309467,none
