trade_id_ref,venue,notional,taker_fee_bps_applied,expected_fee_usd,actual_fee_usd,delta_usd,match_status,injected_discrepancy_type
kraken:105347813,kraken,22.17305243,80.0,0.17738442,0.17738442,0.00000000,matched,none
kraken:105347814,kraken,894.84537334,80.0,7.15876299,4.22358621,-2.93517678,discrepant,rate_misapplied
kraken:105347815,kraken,917.01839344,80.0,7.33614715,7.33614715,0.00000000,matched,none
kraken:105347816,kraken,917.01839344,80.0,7.33614715,7.33614715,0.00000000,matched,none
kraken:105347817,kraken,917.01565019,80.0,7.33612520,7.33612520,0.00000000,matched,none
kraken:105347818,kraken,30.37634079,80.0,0.24301073,0.24301073,0.00000000,matched,none
kraken:105347819,kraken,4.10001130,80.0,0.03280009,0.03280009,0.00000000,matched,none
kraken:105347820,kraken,357.53069705,80.0,2.86024558,1.89497535,-0.96527023,discrepant,rate_misapplied
kraken:105347821,kraken,3.95530272,80.0,0.03164242,0.03164242,0.00000000,matched,none
kraken:105347822,kraken,1654.05451138,80.0,13.23243609,18.25460952,5.02217343,discrepant,rate_misapplied
kraken:105347823,kraken,4466.64578856,80.0,35.73316631,35.73316631,0.00000000,matched,none
kraken:105347824,kraken,238.34488197,80.0,1.90675906,1.90675906,0.00000000,matched,none
kraken:105347825,kraken,873.92849048,80.0,6.99142792,6.99142792,0.00000000,matched,none
kraken:105347826,kraken,317.79249011,80.0,2.54233992,5.08467984,2.54233992,discrepant,double_billed
kraken:105347827,kraken,15473.05986923,80.0,123.78447895,123.78447895,0.00000000,matched,none
kraken:105347828,kraken,68.58510000,80.0,0.54868080,0.54868080,0.00000000,matched,none
kraken:105347829,kraken,18523.50358736,80.0,148.18802870,148.18802870,0.00000000,matched,none
kraken:105347830,kraken,8910.53641264,80.0,71.28429130,71.28429130,0.00000000,matched,none
kraken:105347831,kraken,50.00059545,80.0,0.40000476,0.40000476,0.00000000,matched,none
kraken:105347832,kraken,6.85851000,80.0,0.05486808,0.05486808,0.00000000,matched,none
kraken:105347833,kraken,68.58510000,80.0,0.54868080,0.54868080,0.00000000,matched,none
kraken:105347834,kraken,4648.51051739,80.0,37.18808414,37.18808414,0.00000000,matched,none
kraken:105347835,kraken,3.49787070,80.0,0.02798297,0.02798297,0.00000000,matched,none
kraken:105347836,kraken,6859.87000000,80.0,54.87896000,54.87896000,0.00000000,matched,none
kraken:105347837,kraken,50.00022046,80.0,0.40000176,0.40000176,0.00000000,matched,none
kraken:105347838,kraken,19.96671600,80.0,0.15973373,0.15973373,0.00000000,matched,none
kraken:105347839,kraken,50.00441790,80.0,0.40003534,0.40003534,0.00000000,matched,none
kraken:105347840,kraken,4775.39520000,80.0,38.20316160,38.20316160,0.00000000,matched,none
kraken:105347841,kraken,13308.02674556,80.0,106.46421396,106.46421396,0.00000000,matched,none
kraken:105347842,kraken,99.96782970,80.0,0.79974264,0.79974264,0.00000000,matched,none
kraken:105347843,kraken,50.00518460,80.0,0.40004148,0.40004148,0.00000000,matched,none
kraken:105347844,kraken,8.37083480,80.0,0.06696668,0.06696668,0.00000000,matched,none
kraken:105347845,kraken,50.00001053,80.0,0.40000008,0.40000008,0.00000000,matched,none
kraken:105347846,kraken,68.62760000,80.0,0.54902080,0.54902080,0.00000000,matched,none
kraken:105347847,kraken,196.82841243,80.0,1.57462730,1.57462730,0.00000000,matched,none
kraken:105347848,kraken,50.00015072,80.0,0.40000121,,,missing,missing_line
kraken:105347849,kraken,3.49892640,80.0,0.02799141,0.02799141,0.00000000,matched,none
kraken:105347850,kraken,159.23702788,80.0,1.27389622,1.27389622,0.00000000,matched,none
kraken:105347851,kraken,3.49875300,80.0,0.02799002,0.02531793,-0.00267209,matched,rounding_error
kraken:105347852,kraken,28.74369330,80.0,0.22994955,0.22994955,0.00000000,matched,none
kraken:105347853,kraken,18.58229551,80.0,0.14865836,0.14865836,0.00000000,matched,none
kraken:105347854,kraken,26502.01670465,80.0,212.01613364,212.01613364,0.00000000,matched,none
kraken:105347855,kraken,24102.73833261,80.0,192.82190666,192.82190666,0.00000000,matched,none
kraken:105347856,kraken,3.42986000,80.0,0.02743888,0.02743888,0.00000000,matched,none
kraken:105347857,kraken,1028.95950000,80.0,8.23167600,8.23167600,0.00000000,matched,none
kraken:105347858,kraken,68.59730000,80.0,0.54877840,0.54877840,0.00000000,matched,none
kraken:105347859,kraken,50.00057197,80.0,0.40000458,0.40000458,0.00000000,matched,none
kraken:105347860,kraken,6.85973000,80.0,0.05487784,0.05487784,0.00000000,matched,none
kraken:105347861,kraken,68.59730000,80.0,0.54877840,0.54877840,0.00000000,matched,none
kraken:105347862,kraken,1158.35458699,80.0,9.26683670,9.26683670,0.00000000,matched,none
kraken:105347863,kraken,255.69506380,80.0,2.04556051,2.04556051,0.00000000,matched,none
kraken:105347864,kraken,585.65425056,80.0,4.68523400,4.68523400,0.00000000,matched,none
kraken:105347865,kraken,46.57063908,80.0,0.37256511,0.37256511,0.00000000,matched,none
kraken:105347866,kraken,1509.13840000,80.0,12.07310720,12.07310720,0.00000000,matched,none
kraken:105347867,kraken,372.88683351,80.0,2.98309467,2.98309467,0.00000000,matched,none
kraken:105347868,kraken,540.30721774,80.0,4.32245774,4.32245774,0.00000000,matched,none
kraken:105347869,kraken,7.82557998,80.0,0.06260464,0.06260464,0.00000000,matched,none
kraken:105347870,kraken,42.17499199,80.0,0.33739994,0.33739994,0.00000000,matched,none
kraken:105347871,kraken,68.59730000,80.0,0.54877840,0.54877840,0.00000000,matched,none
kraken:105347872,kraken,6.85973000,80.0,0.05487784,0.05487784,0.00000000,matched,none
kraken:105347873,kraken,392.33196775,80.0,3.13865574,4.47629187,1.33763613,discrepant,rate_misapplied
kraken:105347874,kraken,5350.58940000,80.0,42.80471520,42.80884656,0.00413136,matched,rounding_error
kraken:105347875,kraken,3241.25054989,80.0,25.93000440,25.93000440,0.00000000,matched,none
kraken:105347876,kraken,2286.37544792,80.0,18.29100358,18.29100358,0.00000000,matched,none
kraken:105347877,kraken,9997.18323137,80.0,79.97746585,79.97746585,0.00000000,matched,none
kraken:105347878,kraken,10.44666759,80.0,0.08357334,0.08357334,0.00000000,matched,none
kraken:105347879,kraken,6.64570642,80.0,0.05316565,0.05316565,0.00000000,matched,none
kraken:105347880,kraken,404.64792700,80.0,3.23718342,3.23718342,0.00000000,matched,none
kraken:105347881,kraken,28.00004591,80.0,0.22400037,0.22400037,0.00000000,matched,none
kraken:105347882,kraken,37.45407120,80.0,0.29963257,0.29963257,0.00000000,matched,none
kraken:105347883,kraken,1885.68900996,80.0,15.08551208,15.08551208,0.00000000,matched,none
kraken:105347884,kraken,68.59720000,80.0,0.54877760,0.54877760,0.00000000,matched,none
kraken:105347885,kraken,50.00049908,80.0,0.40000399,0.40000399,0.00000000,matched,none
kraken:105347886,kraken,1225.20978740,80.0,9.80167830,9.80167830,0.00000000,matched,none
kraken:105347887,kraken,99.94510050,80.0,0.79956080,0.79956080,0.00000000,matched,none
kraken:105347888,kraken,99.99109800,80.0,0.79992878,0.79992878,0.00000000,matched,none
kraken:105347889,kraken,784.56110962,80.0,6.27648888,6.27648888,0.00000000,matched,none
kraken:105347890,kraken,4999.24872000,80.0,39.99398976,39.99398976,0.00000000,matched,none
kraken:105347891,kraken,49999.99978844,80.0,399.99999831,399.99999831,0.00000000,matched,none
kraken:105347892,kraken,432.06949994,80.0,3.45655600,3.45655600,0.00000000,matched,none
kraken:105347893,kraken,50.00003065,80.0,0.40000025,0.40000025,0.00000000,matched,none
kraken:105347894,kraken,68.57680000,80.0,0.54861440,0.54861440,0.00000000,matched,none
kraken:105347895,kraken,20.36730960,80.0,0.16293848,0.16293848,0.00000000,matched,none
kraken:105347896,kraken,11.17801840,80.0,0.08942415,0.08942415,0.00000000,matched,none
kraken:105347897,kraken,68.57680000,80.0,0.54861440,0.54861440,0.00000000,matched,none
kraken:105347898,kraken,6.85768000,80.0,0.05486144,0.05486144,0.00000000,matched,none
kraken:105347899,kraken,5348.99040000,80.0,42.79192320,42.79192320,0.00000000,matched,none
kraken:105347900,kraken,3421.45907902,80.0,27.37167263,27.37167263,0.00000000,matched,none
kraken:105347901,kraken,14799.61818405,80.0,118.39694547,118.39694547,0.00000000,matched,none
kraken:105347902,kraken,12.48095940,80.0,0.09984768,0.09984768,0.00000000,matched,none
kraken:105347903,kraken,124.67244060,80.0,0.99737952,0.99737952,0.00000000,matched,none
kraken:105347904,kraken,49.99995774,80.0,0.39999966,0.39999966,0.00000000,matched,none
kraken:105347905,kraken,68.57670000,80.0,0.54861360,0.54861360,0.00000000,matched,none
kraken:105347906,kraken,3.49735050,80.0,0.02797880,0.02797880,0.00000000,matched,none
kraken:105347907,kraken,738.02573165,80.0,5.90420585,5.90420585,0.00000000,matched,none
kraken:105347908,kraken,20.99633625,80.0,0.16797069,0.16797069,0.00000000,matched,none
kraken:105347909,kraken,50.00054285,80.0,0.40000434,0.40000434,0.00000000,matched,none
kraken:105347910,kraken,5348.62380000,80.0,42.78899040,42.78899040,0.00000000,matched,none
kraken:105347911,kraken,299.95143588,80.0,2.39961149,2.39961149,0.00000000,matched,none
kraken:105347912,kraken,99.96835320,80.0,0.79974683,1.59949366,0.79974683,discrepant,double_billed
kraken:105347913,kraken,49.98417660,80.0,0.39987341,0.39987341,0.00000000,matched,none
kraken:105347914,kraken,0.01577004,80.0,0.00012616,0.00012616,0.00000000,matched,none
kraken:105347915,kraken,4100.21092000,80.0,32.80168736,32.80168736,0.00000000,matched,none
kraken:105347916,kraken,3.49682520,80.0,0.02797460,0.02797460,0.00000000,matched,none
kraken:105347917,kraken,4191.14103188,80.0,33.52912826,33.52912826,0.00000000,matched,none
kraken:105347918,kraken,784.43593183,80.0,6.27548745,6.27548745,0.00000000,matched,none
kraken:105347919,kraken,26226.97006707,80.0,209.81576054,209.81576054,0.00000000,matched,none
kraken:105347920,kraken,17266.38081000,80.0,138.13104648,138.13104648,0.00000000,matched,none
kraken:105347921,kraken,8136.01112895,80.0,65.08808903,65.08808903,0.00000000,matched,none
kraken:105347922,kraken,784.43593183,80.0,6.27548745,6.27548745,0.00000000,matched,none
kraken:105347923,kraken,26226.97006707,80.0,209.81576054,209.81576054,0.00000000,matched,none
kraken:105347924,kraken,19251.85686436,80.0,154.01485491,154.01485491,0.00000000,matched,none
kraken:105347925,kraken,11537.52817430,80.0,92.30022539,92.30022539,0.00000000,matched,none
kraken:105347926,kraken,784.43593183,80.0,6.27548745,6.27548745,0.00000000,matched,none
