trade_id_ref,gl_account,debit_credit,amount,currency,posted_at,posting_status
kraken:105347813,kraken:XBTUSD,C,22.17,USD,2026-08-19T18:49:43.886701+00:00,posted
kraken:105347814,kraken:XBTUSD,C,894.85,USD,2026-08-19T19:55:08.246363+00:00,posted
kraken:105347815,kraken:XBTUSD,C,917.02,USD,2026-08-19T22:24:47.323599+00:00,posted
kraken:105347816,kraken:XBTUSD,C,917.02,USD,2026-08-19T19:10:10.062634+00:00,posted
kraken:105347817,kraken:XBTUSD,C,917.02,USD,2026-08-19T18:51:18.658693+00:00,posted
kraken:105347818,kraken:XBTUSD,D,30.38,USD,2026-08-19T21:28:15.282382+00:00,posted
kraken:105347819,kraken:XBTUSD,C,4.10,USD,2026-08-19T19:54:14.134751+00:00,posted
kraken:105347820,kraken:XBTUSD,D,357.53,USD,2026-08-19T23:08:37.992383+00:00,posted
kraken:105347822,kraken:XBTUSD,D,1654.05,USD,2026-08-20T20:54:12.193408+00:00,posted
kraken:105347823,kraken:XBTUSD,D,4466.65,USD,2026-08-19T19:32:51.621953+00:00,posted
kraken:105347824,kraken:XBTUSD,D,238.34,USD,2026-08-19T20:32:37.701155+00:00,posted
kraken:105347825,kraken:XBTUSD,D,873.93,USD,2026-08-22T10:52:20.155724+00:00,posted
kraken:105347826,kraken:XBTUSD,D,317.79,USD,2026-08-19T23:07:54.291340+00:00,posted
kraken:105347827,kraken:XBTUSD,D,15473.06,USD,2026-08-19T21:38:30.468535+00:00,posted
kraken:105347828,kraken:XBTUSD,D,68.59,USD,2026-08-19T20:46:28.132993+00:00,posted
kraken:105347829,kraken:XBTUSD,D,18523.50,USD,2026-08-19T23:15:15.364676+00:00,posted
kraken:105347830,kraken:XBTUSD,D,8910.54,USD,2026-08-19T23:25:54.996338+00:00,posted
kraken:105347831,kraken:XBTUSD,D,50.00,USD,2026-08-19T22:34:03.722069+00:00,posted
kraken:105347832,kraken:XBTUSD,D,6.86,USD,2026-08-20T00:06:40.585821+00:00,posted
