trade_id_ref,expected_settle_date,actual_settle_date,settlement_status,settlement_amount,currency
kraken:105347813,2026-08-20,2026-08-19,settled,22.17,USD
kraken:105347814,2026-08-20,2026-08-19,settled,894.85,USD
kraken:105347815,2026-08-20,2026-08-19,settled,917.02,USD
kraken:105347816,2026-08-20,2026-08-19,settled,917.02,USD
kraken:105347817,2026-08-20,2026-08-19,settled,917.02,USD
kraken:105347818,2026-08-20,2026-08-19,settled,30.38,USD
kraken:105347819,2026-08-20,2026-08-19,settled,4.10,USD
kraken:105347820,2026-08-20,2026-08-19,settled,357.53,USD
kraken:105347822,2026-08-21,2026-08-20,settled,1654.05,USD
kraken:105347823,2026-08-20,2026-08-19,settled,4466.65,USD
kraken:105347824,2026-08-20,2026-08-19,settled,238.34,USD
kraken:105347825,2026-08-20,2026-08-22,settled,873.93,USD
kraken:105347826,2026-08-20,2026-08-19,settled,317.79,USD
kraken:105347827,2026-08-20,2026-08-19,settled,15473.06,USD
kraken:105347828,2026-08-20,2026-08-19,settled,68.59,USD
kraken:105347829,2026-08-20,2026-08-19,settled,18523.50,USD
kraken:105347830,2026-08-20,2026-08-19,settled,8910.54,USD
kraken:105347831,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347832,2026-08-20,2026-08-19,settled,6.86,USD
kraken:105347834,2026-08-20,2026-08-19,settled,4648.51,USD
kraken:105347835,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347836,2026-08-20,2026-08-19,settled,6859.87,USD
kraken:105347837,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347838,2026-08-20,2026-08-19,settled,19.97,USD
kraken:105347839,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347840,2026-08-20,2026-08-19,settled,4775.40,USD
kraken:105347841,2026-08-20,2026-08-19,settled,13308.03,USD
kraken:105347842,2026-08-20,2026-08-19,settled,99.97,USD
kraken:105347843,2026-08-21,2026-08-20,settled,50.01,USD
kraken:105347844,2026-08-24,2026-08-21,settled,8.37,USD
kraken:105347845,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347846,2026-08-20,2026-08-19,settled,68.63,USD
kraken:105347847,2026-08-20,2026-08-19,settled,196.83,USD
kraken:105347848,2026-08-20,2026-08-19,settled,50.00,USD
kraken:105347849,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347850,2026-08-20,2026-08-19,settled,159.24,USD
kraken:105347851,2026-08-20,2026-08-19,settled,3.50,USD
kraken:105347852,2026-08-20,2026-08-19,settled,28.74,USD
kraken:105347853,2026-08-20,2026-08-19,settled,18.58,USD
kraken:105347855,2026-08-20,2026-08-19,settled,24102.74,USD
kraken:105347856,2026-08-20,2026-08-19,settled,3.43,USD
kraken:105347857,2026-08-20,2026-08-19,settled,1028.96,USD
kraken:105347858,2026-08-20,2026-08-19,settled,68.60,USD
kraken:105347859,2026-08-24,2026-08-21,settled,50.00,USD
kraken:105347861,2026-08-20,2026-08-19,settled,68.60,USD
kraken:105347862,2026-08-20,2026-08-19,settled,1158.35,USD
kraken:105347864,2026-08-20,2026-08-19,settled,585.65,USD
kraken:105347865,2026-08-20,2026-08-19,settled,46.57,USD
kraken:105347866,2026-08-20,2026-08-19,settled,1509.14,USD
kraken:105347867,2026-08-24,2026-08-21,settled,372.89,USD
kraken:105347868,2026-08-20,2026-08-19,settled,540.31,USD
kraken:105347869,2026-08-20,2026-08-19,settled,7.83,USD
kraken:105347870,2026-08-20,2026-08-19,settled,42.17,USD
kraken:105347871,2026-08-20,2026-08-19,settled,68.60,USD
