orphan_ref,candidate_trade_refs,candidate_count
CLEARING-ORPHAN-000000,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000001,binance:6582452482;binance:6582462236,2
CLEARING-ORPHAN-000002,binance:6582454162;binance:6582455630,2
CLEARING-ORPHAN-000003,binance:6582454536;binance:6582460033;binance:6582461490,3
CLEARING-ORPHAN-000004,coinbase:1073149743,1
CLEARING-ORPHAN-000005,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000006,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000007,,0
CLEARING-ORPHAN-000008,binance:6582450251;binance:6582461809,2
CLEARING-ORPHAN-000009,,0
CLEARING-ORPHAN-000010,,0
CLEARING-ORPHAN-000011,binance:6582452947,1
CLEARING-ORPHAN-000012,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000013,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000014,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000015,,0
CLEARING-ORPHAN-000016,coinbase:1073146220;coinbase:1073146552;coinbase:1073146655;coinbase:1073146992;coinbase:1073147487;coinbase:1073147872;coinbase:1073149161;coinbase:1073149299;coinbase:1073149374,9
CLEARING-ORPHAN-000017,,0
CLEARING-ORPHAN-000018,,0
CLEARING-ORPHAN-000019,,0
CLEARING-ORPHAN-000020,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000021,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000022,binance:6582450545;binance:6582452809;binance:6582453809;binance:6582454491;binance:6582460602,5
CLEARING-ORPHAN-000023,coinbase:1073147605;coinbase:1073149517,2
CLEARING-ORPHAN-000024,coinbase:1073145813;coinbase:1073148064;coinbase:1073149346,3
CLEARING-ORPHAN-000025,,0
CLEARING-ORPHAN-000026,coinbase:1073148888;coinbase:1073150316,2
CLEARING-ORPHAN-000027,,0
CLEARING-ORPHAN-000028,binance:6582452759,1
CLEARING-ORPHAN-000029,,0
CLEARING-ORPHAN-000030,,0
CLEARING-ORPHAN-000031,kraken:105347821,1
CLEARING-ORPHAN-000032,binance:6582452482;binance:6582462236,2
CLEARING-ORPHAN-000033,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000034,coinbase:1073146220;coinbase:1073146552;coinbase:1073146655;coinbase:1073146992;coinbase:1073147487;coinbase:1073147872;coinbase:1073149161;coinbase:1073149299;coinbase:1073149374,9
CLEARING-ORPHAN-000035,binance:6582453906,1
CLEARING-ORPHAN-000036,,0
CLEARING-ORPHAN-000037,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000038,binance:6582454536;binance:6582460033;binance:6582461490,3
CLEARING-ORPHAN-000039,,0
CLEARING-ORPHAN-000040,binance:6582450713,1
CLEARING-ORPHAN-000041,coinbase:1073145971,1
CLEARING-ORPHAN-000042,,0
CLEARING-ORPHAN-000043,binance:6582451639;binance:6582452322;binance:6582453906;binance:6582453983;binance:6582458130;binance:6582459088;binance:6582462385;binance:6582463926;binance:6582464445;binance:6582465047,10
CLEARING-ORPHAN-000044,binance:6582454162;binance:6582455630,2
CLEARING-ORPHAN-000045,kraken:105348398,1
CLEARING-ORPHAN-000046,,0
CLEARING-ORPHAN-000047,binance:6582462778,1
CLEARING-ORPHAN-000048,,0
CLEARING-ORPHAN-000049,coinbase:1073148745,1
CLEARING-ORPHAN-000050,kraken:105347950;kraken:105348263,2
CLEARING-ORPHAN-000051,,0
CLEARING-ORPHAN-000052,binance:6582453801;binance:6582454552;binance:6582455888;binance:6582458831;binance:6582460200;binance:6582460409;binance:6582461897;binance:6582462194;binance:6582462422;binance:6582464167;binance:6582464444;binance:6582465100;binance:6582465133,13
CLEARING-ORPHAN-000053,coinbase:1073148603,1
CLEARING-ORPHAN-000054,,0
