orphan_ref,candidate_trade_refs,candidate_count
CONFIRM-ORPHAN-000000,coinbase:1073149201,1
CONFIRM-ORPHAN-000001,,0
CONFIRM-ORPHAN-000002,coinbase:1073149201,1
CONFIRM-ORPHAN-000003,,0
CONFIRM-ORPHAN-000004,kraken:105348643,1
CONFIRM-ORPHAN-000005,binance:6582452710;binance:6582453002;binance:6582453886;binance:6582458521;binance:6582458953;binance:6582459883;binance:6582460668,7
CONFIRM-ORPHAN-000006,coinbase:1073148419,1
CONFIRM-ORPHAN-000007,,0
CONFIRM-ORPHAN-000008,,0
CONFIRM-ORPHAN-000009,coinbase:1073145910,1
CONFIRM-ORPHAN-000010,,0
CONFIRM-ORPHAN-000011,coinbase:1073146276;coinbase:1073146456;coinbase:1073149787,3
CONFIRM-ORPHAN-000012,binance:6582454016,1
CONFIRM-ORPHAN-000013,binance:6582456828,1
CONFIRM-ORPHAN-000014,coinbase:1073146716;coinbase:1073146887;coinbase:1073146888,3
CONFIRM-ORPHAN-000015,,0
CONFIRM-ORPHAN-000016,,0
CONFIRM-ORPHAN-000017,,0
CONFIRM-ORPHAN-000018,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000019,kraken:105348643,1
CONFIRM-ORPHAN-000020,binance:6582451765;binance:6582454412;binance:6582454824;binance:6582456286;binance:6582460467;binance:6582464962;binance:6582465047,7
CONFIRM-ORPHAN-000021,coinbase:1073148780;coinbase:1073150178;coinbase:1073150554,3
CONFIRM-ORPHAN-000022,coinbase:1073149840,1
CONFIRM-ORPHAN-000023,binance:6582461441,1
CONFIRM-ORPHAN-000024,binance:6582456286,1
CONFIRM-ORPHAN-000025,binance:6582454016,1
CONFIRM-ORPHAN-000026,,0
CONFIRM-ORPHAN-000027,coinbase:1073147986,1
CONFIRM-ORPHAN-000028,binance:6582451490;binance:6582451491;binance:6582451664;binance:6582452753;binance:6582455578;binance:6582455789;binance:6582457669;binance:6582458834;binance:6582460200;binance:6582461627;binance:6582462913;binance:6582464469,12
CONFIRM-ORPHAN-000029,,0
